source_id,source_name,source_project_id,project_name,issuance_date,issued_quantity,credit_unit,methodology_name,durability,country,source_url
puro_earth,Puro Earth,175613,Aperam BioEnergia,31 Mar 2026,46433.0,CORC,"Biochar, 2022",100+ years,Brazil,https://registry.puro.earth/issuances
puro_earth,Puro Earth,469599,SEEK Biochar in Shanghai,30 Mar 2026,60.0,CORC,"Biochar, 2022",100+ years,China,https://registry.puro.earth/issuances
puro_earth,Puro Earth,846201,Dragonfly,30 Mar 2026,1049.0,CORC,Terrestrial Storage of Biomass,100+ years,Namibia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",30 Mar 2026,11082.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,442197,Enhanced Rock Weathering - Smallholder farmers in India,26 Mar 2026,253.0,CORC,"Enhanced Rock Weathering, 2022",1000+ years,India,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",23 Mar 2026,10220.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,226049,Farm Gai Kaisa 159,20 Mar 2026,1396.0,CORC,"Biochar, 2022",100+ years,Namibia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,526866,Foundation 1,13 Mar 2026,340.0,CORC,"Biochar, 2022",100+ years,Cambodia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,593074,Sem-Chi Rice Products Corp. CDR Facility #1,06 Mar 2026,871.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,389138,Guaicaramo,05 Mar 2026,106.0,CORC,"Biochar, 2022",100+ years,Colombia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,705515,Tierra Prieta - Parras,05 Mar 2026,1015.0,CORC,"Biochar, 2022",100+ years,Mexico,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",26 Feb 2026,11671.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",10 Feb 2026,5068.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,133972,SCG,06 Feb 2026,668.0,CORC,"Biochar, 2022",100+ years,Thailand,https://registry.puro.earth/issuances
puro_earth,Puro Earth,530211,La Veta,04 Feb 2026,850.0,CORC,Terrestrial Storage of Biomass,100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",02 Feb 2026,3714.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,619736,Four Bordet,30 Jan 2026,1768.0,CORC,"Biochar, 2022",100+ years,France,https://registry.puro.earth/issuances
puro_earth,Puro Earth,417791,Mammoth,30 Jan 2026,82.0,CORC,"Geologically stored carbon, 2024",1000+ years,Iceland,https://registry.puro.earth/issuances
puro_earth,Puro Earth,631817,Orca plant,30 Jan 2026,205.0,CORC,Geologically stored carbon,1000+ years,Iceland,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",28 Jan 2026,4900.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,507468,Carbofex Nokia 1,23 Jan 2026,856.0,CORC,"Biochar, 2022",100+ years,Finland,https://registry.puro.earth/issuances
