source_id,source_name,methodology_name,methodology_code,source_project_id,project_name,country,project_url
gold_standard,Gold Standard,Not provided,,23214,GS23213 VPA-1 Ibu Bakau: Community-powered Mangrove Afforestation in Indonesia 1,Indonesia,https://registry.goldstandard.org/projects/details/23214
gold_standard,Gold Standard,Not provided,,23213,Ibu Bakau: Community-powered Mangrove Afforestation in Indonesia ,Indonesia,https://registry.goldstandard.org/projects/details/23213
gold_standard,Gold Standard,AMS-I.B. Mechanical energy for the user with or without electrical energy,,13168,GS13163 VPA-1 Solar water pump project in Uganda by SunCulture,Uganda,https://registry.goldstandard.org/projects/details/13168
gold_standard,Gold Standard,AMS-I.B. Mechanical energy for the user with or without electrical energy,,13163,GS13163 PoA Solar water pump project in Uganda by SunCulture,Uganda,https://registry.goldstandard.org/projects/details/13163
gold_standard,Gold Standard,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,,11717,CPA-MA-25-Madagascar Ethanol Stove Program,Madagascar,https://registry.goldstandard.org/projects/details/11717
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12820,GS5658 - VPA 43 Community Safe Water Project  in Ethiopia,Ethiopia,https://registry.goldstandard.org/projects/details/12820
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12822,GS5658 - VPA 44 Community Safe Water Project in Ethiopia,Ethiopia,https://registry.goldstandard.org/projects/details/12822
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12823,GS5658 - VPA 45 Community Safe Water Project in Ethiopia,Ethiopia,https://registry.goldstandard.org/projects/details/12823
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,12955,Feriana solar power,Tunisia,https://registry.goldstandard.org/projects/details/12955
gold_standard,Gold Standard,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves, Version 3.0",,13083,Improved Cookstoves and Healthy Lives in Nepal - VPA 4,Nepal,https://registry.goldstandard.org/projects/details/13083
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13094,Improved Cookstove and Safe Drinking Water Project in Africa and Asia,Cambodia,https://registry.goldstandard.org/projects/details/13094
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13095,Improved Cookstove and Safe Drinking Water Project in Africa and Asia-VPA1 Uganda,Uganda,https://registry.goldstandard.org/projects/details/13095
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13096,Improved Cookstove and Safe Drinking Water Project in Africa and Asia-VPA2 Uganda,Uganda,https://registry.goldstandard.org/projects/details/13096
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13109,UpEnergy – Social and Climate Impact Programme-Cooking Devices VPA-47,Zambia,https://registry.goldstandard.org/projects/details/13109
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,13129,Alfenas Landfill Gas Project,Brazil,https://registry.goldstandard.org/projects/details/13129
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,13131,Sow & Reap Agro Pvt Ltd Clean Cooking Programme in India,India,https://registry.goldstandard.org/projects/details/13131
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,13132,GS13131 Sow & Reap Agro Pvt Ltd Clean Cooking Programme in India-VPA 1,India,https://registry.goldstandard.org/projects/details/13132
gold_standard,Gold Standard,Soil Organic Carbon Framework Methodology,,23209,Hebei Improved Cropland Management Project Phase II,China,https://registry.goldstandard.org/projects/details/23209
gold_standard,Gold Standard,Other,,23208,Installation of high efficiency wood burning cookstoves in Vietnam,Viet Nam,https://registry.goldstandard.org/projects/details/23208
gold_standard,Gold Standard,Other,,23207,Installation of high efficiency wood burning cookstoves in Thailand,Thailand,https://registry.goldstandard.org/projects/details/23207
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13120,GS11638 GS11640 RVPA-5 SPOUTS Water Purifier Programme in Africa- WPS in Uganda by AERA- VPA 15,Uganda,https://registry.goldstandard.org/projects/details/13120
gold_standard,Gold Standard,Other,,23204,Installation of high efficiency wood burning cookstoves in Uganda,Uganda,https://registry.goldstandard.org/projects/details/23204
gold_standard,Gold Standard,Other,,23203,Installation of high efficiency wood burning cookstoves in Kenya,Kenya,https://registry.goldstandard.org/projects/details/23203
gold_standard,Gold Standard,Soil Organic Carbon Framework Methodology,,23202,Small Farmers' Carbon Farming in Noto's Satoyama Japan,Japan,https://registry.goldstandard.org/projects/details/23202
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,13077,Kairouan Solar Farm in Tunisia,Tunisia,https://registry.goldstandard.org/projects/details/13077
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,12766,Tropigas 50 MW Solar Power Plant in the Dominican Republic,Dominican Republic,https://registry.goldstandard.org/projects/details/12766
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,13081,Great Zimbabwe Hydro - 5MW,Zimbabwe,https://registry.goldstandard.org/projects/details/13081
gold_standard,Gold Standard,AMS-III.D. Methane recovery in animal manure management systems,,23197,Hanbao Compost Project in Taiwan,Taiwan,https://registry.goldstandard.org/projects/details/23197
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,12915,ADES EcoStoves VPA ,Madagascar,https://registry.goldstandard.org/projects/details/12915
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23196,GS23192 VPA-2 Building Climate Resilience through Afforestation Reforestation & Agroforestry Benin,Benin,https://registry.goldstandard.org/projects/details/23196
gold_standard,Gold Standard,AMS-III.C. Emission reductions by electric and hybrid vehicles,,13104,Zeno Moto Electric Mobility POA,Kenya,https://registry.goldstandard.org/projects/details/13104
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,13075,Betim Landfill Gas Project,Brazil,https://registry.goldstandard.org/projects/details/13075
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13189,ETG Live Better Improved Cookstove,Zambia,https://registry.goldstandard.org/projects/details/13189
