source_id,source_name,source_project_id,project_name,country,status,project_type,methodology_name,developer_or_supplier,estimated_annual_credits,project_url
gold_standard,Gold Standard,1032,Swine farms biogas integrated power project in central treatment plants.,Brazil,Listed,Biogas - Electricity,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,Lumina Engenharia e Consultoria Ltda.,100000,https://registry.goldstandard.org/projects/details/1032
gold_standard,Gold Standard,1031,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 04 Envirofit,India,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Envirofit International Ltd.,40842,https://registry.goldstandard.org/projects/details/1031
gold_standard,Gold Standard,1030,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 03 Envirofit,India,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Envirofit International Ltd.,39243,https://registry.goldstandard.org/projects/details/1030
gold_standard,Gold Standard,1029,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 02 Envirofit,India,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Envirofit International Ltd.,38274,https://registry.goldstandard.org/projects/details/1029
gold_standard,Gold Standard,1028,Efficient Cookstoves in Bahia II - Santo Amaro,Brazil,Gold Standard Certified Project,Energy Efficiency - Domestic,GS MS Simplified Methodology for Efficient Cookstoves v1.,Instituto Perene,4700,https://registry.goldstandard.org/projects/details/1028
gold_standard,Gold Standard,1055,SARPINCIK WPP,Turkey,Gold Standard Certified Project,Wind,ACM0002 Grid-connected electricity generation from renewable sources,GTE KARBON SUSTAINABLE ENERJI EGITIM DANISMANLIK VE TICARET A.S.,62279,https://registry.goldstandard.org/projects/details/1055
gold_standard,Gold Standard,1054,Demircili WPP,Turkey,Gold Standard Certified Project,Wind,,GTE KARBON SUSTAINABLE ENERJI EGITIM DANISMANLIK VE TICARET A.S.,86723,https://registry.goldstandard.org/projects/details/1054
gold_standard,Gold Standard,1027,Maluti Air Quality Project - South,South Africa,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.C. Demand-side energy efficiency activities for specific technologies,Nova Institute,4000,https://registry.goldstandard.org/projects/details/1027
gold_standard,Gold Standard,1026,Akcansa Canakkale Cement 15.2 MW Waste Heat Recovery Project,Turkey,Listed,Energy Efficiency - Industrial,Other,Akcnsa Cimento Sanayi ve Ticaret A.S.,58328,https://registry.goldstandard.org/projects/details/1026
gold_standard,Gold Standard,1025,YAZYURDU HEPP,Turkey,Gold Standard Certified Design,Other,ACM0002 Grid-connected electricity generation from renewable sources,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,21918,https://registry.goldstandard.org/projects/details/1025
gold_standard,Gold Standard,1024,Saray HEPP,Turkey,Listed,"Small, Low - Impact Hydro",AMS-I.D. Grid connected renewable electricity generation,BorgaCarbon Consultancy Ltd.,33010,https://registry.goldstandard.org/projects/details/1024
gold_standard,Gold Standard,1023,GS1023 Improved Cook Stoves programme for Rwanda,Rwanda,Gold Standard Certified Design,Energy Efficiency - Domestic,,atmosfair gGmbH,0,https://registry.goldstandard.org/projects/details/1023
gold_standard,Gold Standard,1022,7.5 MW Poultry Litter project by Redan Infrastructure Limited,India,Gold Standard Certified Design,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Swiss Carbon Assets Ltd.,95000,https://registry.goldstandard.org/projects/details/1022
gold_standard,Gold Standard,1021,Improved Woodstoves in Udaipur - Helping Women and Environment,India,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Udaipur Urja Initiatives,41440,https://registry.goldstandard.org/projects/details/1021
gold_standard,Gold Standard,1020,Production and dissemination of Ceramic Water Purifiers by Hydrologic in the Kingdom of Cambodia,Cambodia,Gold Standard Certified Project,Energy Efficiency - Domestic,,Hydrologic Social Enterprise Company Ltd,18585,https://registry.goldstandard.org/projects/details/1020
gold_standard,Gold Standard,1018,Korkmaz Wind Farm Project Turkey,Turkey,Gold Standard Certified Project,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Ayen Enerji A. S.,44715,https://registry.goldstandard.org/projects/details/1018
gold_standard,Gold Standard,1017,Mordogan Wind Farm Project Turkey,Turkey,Gold Standard Certified Project,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Ayen Enerji A. S.,52827,https://registry.goldstandard.org/projects/details/1017
gold_standard,Gold Standard,1016,Konya Aslim Landfill Gas Management Project - Turkey,Turkey,Gold Standard Certified Project,Other,ACM0001 Flaring or use of landfill gas,ITC Invest Trading & Consulting AG Ankara Branch,150000,https://registry.goldstandard.org/projects/details/1016
gold_standard,Gold Standard,1015,Ramanagara Biogas Project version 02; 10th November 2010,India,Gold Standard Certified Project,Biogas - Heat,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Infosys,46564,https://registry.goldstandard.org/projects/details/1015
gold_standard,Gold Standard,1014,Kusakli Hydro Electric Power Plant,Turkey,Gold Standard Certified Project,"Small, Low - Impact Hydro",ACM0002 Grid-connected electricity generation from renewable sources,Enerjisa Enerji Uretim A.S.,22020,https://registry.goldstandard.org/projects/details/1014
gold_standard,Gold Standard,1013,Kocaeli Landfill Gas to Electricity Project,Turkey,Gold Standard Certified Project,Other,ACM0001 Flaring or use of landfill gas,Yeşil Global Enerji A.S,100000,https://registry.goldstandard.org/projects/details/1013
gold_standard,Gold Standard,1012,SULUKOY HEPP,Turkey,Listed,"Small, Low - Impact Hydro",AMS-I.D. Grid connected renewable electricity generation,BorgaCarbon Consultancy Ltd.,9006,https://registry.goldstandard.org/projects/details/1012
gold_standard,Gold Standard,1011,YGF Mangshi Household Biogas Tank Project,China,Gold Standard Certified Project,Biogas - Heat,GS TPDDTEC v 1.,Yunnan Green Environment Development Foundation,4000,https://registry.goldstandard.org/projects/details/1011
gold_standard,Gold Standard,1006,Highveld Air Quality - Highveld Central Project,South Africa,Gold Standard Certified Project,Energy Efficiency - Domestic,GS Alternative Ignition Coal Fires v1.,QK TS Pvt. Ltd.,8000,https://registry.goldstandard.org/projects/details/1006
gold_standard,Gold Standard,1005,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru - PoA,Peru,Gold Standard Certified Design,Energy Efficiency - Domestic,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,MICROSOL SAS,0,https://registry.goldstandard.org/projects/details/1005
gold_standard,Gold Standard,1003,Degirmen Weir and Hydroelectric Power Plant,Turkey,Gold Standard Certified Project,"Small, Low - Impact Hydro",AMS-I.D. Grid connected renewable electricity generation,Sekans Danışmanlık,12393,https://registry.goldstandard.org/projects/details/1003
gold_standard,Gold Standard,1001,InfraVest Taiwan Wind Farms Bundled Project 2011 - Taiwan,Taiwan,Gold Standard Certified Project,Other,ACM0002 Grid-connected electricity generation from renewable sources,South Pole Ltd,264960,https://registry.goldstandard.org/projects/details/1001
gold_standard,Gold Standard,1000,GS936 CookClean Ghana Limited - CPA01,Ghana,Listed,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Climate Impact Partners Limited,100000,https://registry.goldstandard.org/projects/details/1000
puro_earth,Puro Earth,181856,A. James - 50370 Brecey,France,,,Wooden Building Elements,Carbonapp,,https://registry.puro.earth/projects/181856
puro_earth,Puro Earth,227253,Alcom-01-NuevaEcijaPhilippines,Philippines,,,"Biochar, 2022",Alcom Carbon Markets Pte Ltd,,https://registry.puro.earth/projects/227253
puro_earth,Puro Earth,543800,"American BioCarbon CT, LLC",United States,,,"Biochar, 2022","American BioCarbon CT, LLC",,https://registry.puro.earth/projects/543800
puro_earth,Puro Earth,175613,Aperam BioEnergia,Brazil,,,"Biochar, 2022",Aperam Bioenergia Ltda,,https://registry.puro.earth/projects/175613
puro_earth,Puro Earth,686528,Applied Carbon – Terra,United States,,,"Biochar, 2022",Applied Carbon Inc.,,https://registry.puro.earth/projects/686528
puro_earth,Puro Earth,310958,"Are Treindustrier, Norway",Norway,,,Wooden Building Elements,Accend AS,,https://registry.puro.earth/projects/310958
puro_earth,Puro Earth,756292,Avonmouth Production Facility,United Kingdom,,,Carbonated Materials,O.C.O Technology Limited,,https://registry.puro.earth/projects/756292
puro_earth,Puro Earth,957051,BASNA d.o.o.,Serbia,,,"Biochar, 2022",Basna d.o.o.,,https://registry.puro.earth/projects/957051
puro_earth,Puro Earth,511686,BBB - Ahlstrom_Radcliffe,United Kingdom,,,"Biochar, 2022",Black Bull Biochar Ltd,,https://registry.puro.earth/projects/511686
puro_earth,Puro Earth,448190,BBB - AWJ_Newton Rigg (JNR),United Kingdom,,,"Biochar, 2022",Black Bull Biochar Ltd,,https://registry.puro.earth/projects/448190
puro_earth,Puro Earth,862421,BC Biocarbon - McBride,Canada,,,"Biochar, 2022",BC Biocarbon LTD,,https://registry.puro.earth/projects/862421
puro_earth,Puro Earth,157033,Bella Biochar Corporation,Canada,,,"Biochar, 2022",Bella Biochar Corporation,,https://registry.puro.earth/projects/157033
puro_earth,Puro Earth,664457,Bio-Logical Mt Kenya Biochar Project,Kenya,,,"Biochar, 2022",Bio-Logical,,https://registry.puro.earth/projects/664457
puro_earth,Puro Earth,392654,BioLesna Carrot River,Canada,,,"Biochar, 2022",BC Biocarbon LTD,,https://registry.puro.earth/projects/392654
puro_earth,Puro Earth,300346,Brandon Production Facility,United Kingdom,,,Carbonated Materials,O.C.O Technology Limited,,https://registry.puro.earth/projects/300346
puro_earth,Puro Earth,680422,Brodie Biomass,United Kingdom,,,"Biochar, 2022",Accend AS,,https://registry.puro.earth/projects/680422
puro_earth,Puro Earth,299495,Bussme-01-Munka-Ljungby,Sweden,,,"Biochar, 2022",Bussme Biochar AB,,https://registry.puro.earth/projects/299495
puro_earth,Puro Earth,665890,Bussme-01-Svedala,Sweden,,,"Biochar, 2022",Bussme Biochar AB,,https://registry.puro.earth/projects/665890
puro_earth,Puro Earth,911942,Carbofex 1 Hiedanranta,Finland,,,"Biochar, 2022",Carbofex Oy,,https://registry.puro.earth/projects/911942
puro_earth,Puro Earth,507468,Carbofex Nokia 1,Finland,,,"Biochar, 2022",Carbofex Oy,,https://registry.puro.earth/projects/507468
puro_earth,Puro Earth,511285,"Carbon Cycle, 001, Rieden, DE",Germany,,,"Biochar, 2022",Accend AS,,https://registry.puro.earth/projects/511285
puro_earth,Puro Earth,712033,Carbon Hill,United Kingdom,,,"Biochar, 2022",Accend AS,,https://registry.puro.earth/projects/712033
puro_earth,Puro Earth,291133,Carbonchip Mobile Carboniser #1,Australia,,,"Biochar, 2022",Biocare Projects Pty Ltd,,https://registry.puro.earth/projects/291133
puro_earth,Puro Earth,145827,Carbonity Biochar Production Canada,Canada,,,"Biochar, 2022",First Climate (Switzerland) AG,,https://registry.puro.earth/projects/145827
puro_earth,Puro Earth,583695,Carbonsate Project Namibia,Namibia,,,Terrestrial Storage of Biomass,Carbonsate GmbH,,https://registry.puro.earth/projects/583695
puro_earth,Puro Earth,973037,Charles Ingram Lumber Company,United States,,,"Biochar, 2022",S.J. Smoke Enterprises,,https://registry.puro.earth/projects/973037
puro_earth,Puro Earth,120366,Clean Maine Carbon,United States,,,"Biochar, 2022",Clean Maine Carbon,,https://registry.puro.earth/projects/120366
puro_earth,Puro Earth,959739,CSI-Hardin,United States,,,Terrestrial Storage of Biomass,"Carbon Sequestration, Inc.",,https://registry.puro.earth/projects/959739
puro_earth,Puro Earth,992402,Douglas County Forest Products,United States,,,"Biochar, 2022",ACT Commodities Inc.,,https://registry.puro.earth/projects/992402
