source_id,source_name,methodology_id,methodology_code,methodology_name,status,version,approval_date,sectoral_scope,project_count,source_url,notes
gold_standard,Gold Standard,AMS-III.BG Emission reduction through sustainable charcoal production and consumption,,AMS-III.BG Emission reduction through sustainable charcoal production and consumption,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.BL. Integrated methodology for electrification of communities v2,,AMS-III.BL. Integrated methodology for electrification of communities v2,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.BL. Integrated methodology for electrification of communities v2,,AMS-III.BL. Integrated methodology for electrification of communities v2,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.BM: Lightweight two and three wheeled personal transportation version 1.0,,AMS-III.BM: Lightweight two and three wheeled personal transportation version 1.0,,,,,3,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.C. Emission reductions by electric and hybrid vehicles,,AMS-III.C. Emission reductions by electric and hybrid vehicles,,,,,6,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.D. Methane recovery in animal manure management systems,,AMS-III.D. Methane recovery in animal manure management systems,,,,,4,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.F. Avoidance of methane emissions through controlled biological treatment of biomass,,AMS-III.F. Avoidance of methane emissions through controlled biological treatment of biomass,,,,,7,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.G. Landfill methane recovery,,AMS-III.G. Landfill methane recovery,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.H. Methane recovery in wastewater treatment,,AMS-III.H. Methane recovery in wastewater treatment,,,,,4,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.I. Avoidance of methane production in wastewater treatment through replacement of anaerobic systems by aerobic systems,,AMS-III.I. Avoidance of methane production in wastewater treatment through replacement of anaerobic systems by aerobic systems,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.Q. Waste Energy Recovery (gas/heat/pressure) Projects,,AMS-III.Q. Waste Energy Recovery (gas/heat/pressure) Projects,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.S. Introduction of low-emission vehicles/technologies to commercial vehicle fleets,,AMS-III.S. Introduction of low-emission vehicles/technologies to commercial vehicle fleets,,,,,3,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,"AMS-III.Z. Fuel Switch = 159, process improvement and energy efficiency in brick manufacture",,"AMS-III.Z. Fuel Switch = 159, process improvement and energy efficiency in brick manufacture",,,,,4,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,"AMS-III.Z. Fuel Switch, process improvement and energy efficiency in brick manufacture",,"AMS-III.Z. Fuel Switch, process improvement and energy efficiency in brick manufacture",,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,,,,21,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Advanced Hull Coatings v2.,,GS Advanced Hull Coatings v2.,,,,,2,,Distinct methodology labels from Gold Standard project export
