issued_date,issued_qty,project_name,supplier,methodology,durability,project_url,project_id,page_number,source_url
10 Jan 2025,116,NetZero-003-Brejetuba,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/566645,566645,16,https://registry.puro.earth/issuances
10 Jan 2025,1708,NetZero-002-Lajinha,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/141608,141608,16,https://registry.puro.earth/issuances
09 Jan 2025,29,Sonnenerde PyroDry,Sonnenerde GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/955988,955988,16,https://registry.puro.earth/issuances
30 Dec 2024,10523,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,17,https://registry.puro.earth/issuances
30 Dec 2024,66,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,17,https://registry.puro.earth/issuances
30 Dec 2024,73,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,17,https://registry.puro.earth/issuances
30 Dec 2024,94,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,17,https://registry.puro.earth/issuances
30 Dec 2024,4789,Avonmouth Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/756292,756292,17,https://registry.puro.earth/issuances
30 Dec 2024,1075,Brandon Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/300346,300346,17,https://registry.puro.earth/issuances
30 Dec 2024,9009,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,17,https://registry.puro.earth/issuances
27 Dec 2024,2276,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,17,https://registry.puro.earth/issuances
19 Dec 2024,848,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,17,https://registry.puro.earth/issuances
19 Dec 2024,307,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,17,https://registry.puro.earth/issuances
17 Dec 2024,289,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,18,https://registry.puro.earth/issuances
17 Dec 2024,77,Mammoth,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/417791,417791,18,https://registry.puro.earth/issuances
12 Dec 2024,241,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,18,https://registry.puro.earth/issuances
12 Dec 2024,3579,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,18,https://registry.puro.earth/issuances
05 Dec 2024,131,Novocarbo Baltic Sea,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/674019,674019,18,https://registry.puro.earth/issuances
27 Nov 2024,58,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,18,https://registry.puro.earth/issuances
27 Nov 2024,3810,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,18,https://registry.puro.earth/issuances
21 Nov 2024,114,Clean Maine Carbon,Clean Maine Carbon,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/120366,120366,18,https://registry.puro.earth/issuances
19 Nov 2024,5995,Joanna,ACT Commodities Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/320449,320449,18,https://registry.puro.earth/issuances
15 Nov 2024,264,Earthcare,"Earthcare, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/715141,715141,18,https://registry.puro.earth/issuances
14 Nov 2024,4523,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,19,https://registry.puro.earth/issuances
12 Nov 2024,436,ECOERA Millennium 1 Hammenhög Skånefrö,Ecoera AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/706975,706975,19,https://registry.puro.earth/issuances
04 Nov 2024,1901,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,19,https://registry.puro.earth/issuances
31 Oct 2024,217,Jeffries Group,L.F Jeffries Nominees Pty. Ltd t/aJeffries Group,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/114352,114352,19,https://registry.puro.earth/issuances
31 Oct 2024,3248,CSI-Hardin,"Carbon Sequestration, Inc.",Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/959739,959739,19,https://registry.puro.earth/issuances
25 Oct 2024,1917,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,19,https://registry.puro.earth/issuances
25 Oct 2024,21456,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,19,https://registry.puro.earth/issuances
23 Oct 2024,1747,Varaha Corn Seed Facility 1 : Pooling ID 301704,Varaha ClimateAg,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/301704,301704,19,https://registry.puro.earth/issuances
15 Oct 2024,3524,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,19,https://registry.puro.earth/issuances
10 Oct 2024,115,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,19,https://registry.puro.earth/issuances
10 Oct 2024,54,V-Grid (c/o South Corner Dairy),V-Grid Energy Systems,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/472483,472483,20,https://registry.puro.earth/issuances
10 Oct 2024,12,Novocarbo Ruhr/Tyssenkrupp,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/798006,798006,20,https://registry.puro.earth/issuances
02 Oct 2024,1403,Four Bordet,Carbonapp,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/619736,619736,20,https://registry.puro.earth/issuances
27 Sept 2024,1971,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,20,https://registry.puro.earth/issuances
26 Sept 2024,108,General Biochar Systems - Irapuato,The Next 150 SA,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/644638,644638,20,https://registry.puro.earth/issuances
26 Sept 2024,63,Pyrocal - Wellcamp,Pyrocal Pty Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/569274,569274,20,https://registry.puro.earth/issuances
19 Sept 2024,23,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,20,https://registry.puro.earth/issuances
12 Sept 2024,45,Novocarbo Baltic Sea,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/674019,674019,20,https://registry.puro.earth/issuances
12 Sept 2024,2284,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,20,https://registry.puro.earth/issuances
12 Sept 2024,4200,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,20,https://registry.puro.earth/issuances
12 Sept 2024,429,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,21,https://registry.puro.earth/issuances
03 Sept 2024,359,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,21,https://registry.puro.earth/issuances
29 Aug 2024,872,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,21,https://registry.puro.earth/issuances
27 Aug 2024,1440,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,21,https://registry.puro.earth/issuances
27 Aug 2024,268,Fasera Biochar Plant 1,Fasera Holdings Pty Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/607941,607941,21,https://registry.puro.earth/issuances
20 Aug 2024,44,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,21,https://registry.puro.earth/issuances
20 Aug 2024,106,V-Grid (c/o South Corner Dairy),V-Grid Energy Systems,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/472483,472483,21,https://registry.puro.earth/issuances
13 Aug 2024,4109,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,21,https://registry.puro.earth/issuances
08 Aug 2024,227,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,21,https://registry.puro.earth/issuances
08 Aug 2024,133,Novocarbo Baltic Sea,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/674019,674019,21,https://registry.puro.earth/issuances
26 Jul 2024,69,Walsenburg Facility,Wood Cache PBC,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/452184,452184,22,https://registry.puro.earth/issuances
25 Jul 2024,103,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,22,https://registry.puro.earth/issuances
25 Jul 2024,56,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,22,https://registry.puro.earth/issuances
23 Jul 2024,441,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,22,https://registry.puro.earth/issuances
23 Jul 2024,126,V-Grid (c/o South Corner Dairy),V-Grid Energy Systems,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/472483,472483,22,https://registry.puro.earth/issuances
18 Jul 2024,3975,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,22,https://registry.puro.earth/issuances
18 Jul 2024,66,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,22,https://registry.puro.earth/issuances
09 Jul 2024,2564,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,22,https://registry.puro.earth/issuances
09 Jul 2024,3396,"Freres Lumber Co., Inc.",ACT Commodities Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/133206,133206,22,https://registry.puro.earth/issuances
05 Jul 2024,247,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,22,https://registry.puro.earth/issuances
05 Jul 2024,1843,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,23,https://registry.puro.earth/issuances
02 Jul 2024,16727,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,23,https://registry.puro.earth/issuances
27 Jun 2024,2166,"Freres Lumber Co., Inc.",ACT Commodities Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/133206,133206,23,https://registry.puro.earth/issuances
27 Jun 2024,9160,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,23,https://registry.puro.earth/issuances
14 Jun 2024,10020,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,23,https://registry.puro.earth/issuances
07 Jun 2024,1937,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,23,https://registry.puro.earth/issuances
05 Jun 2024,17,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,23,https://registry.puro.earth/issuances
04 Jun 2024,95,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,23,https://registry.puro.earth/issuances
30 May 2024,555,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,23,https://registry.puro.earth/issuances
28 May 2024,54,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,23,https://registry.puro.earth/issuances
23 May 2024,158,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,24,https://registry.puro.earth/issuances
16 May 2024,877,Restoration Fuels,"Restoration Fuels, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/371935,371935,24,https://registry.puro.earth/issuances
14 May 2024,1045,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,24,https://registry.puro.earth/issuances
07 May 2024,115,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,24,https://registry.puro.earth/issuances
07 May 2024,11,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,24,https://registry.puro.earth/issuances
30 Apr 2024,29,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,24,https://registry.puro.earth/issuances
30 Apr 2024,90,Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/181017,181017,24,https://registry.puro.earth/issuances
26 Apr 2024,17423,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,24,https://registry.puro.earth/issuances
25 Apr 2024,851,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,24,https://registry.puro.earth/issuances
23 Apr 2024,64,Sonnenerde PyroDry,Sonnenerde GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/955988,955988,24,https://registry.puro.earth/issuances
19 Apr 2024,741,Four Bordet,Carbonapp,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/619736,619736,25,https://registry.puro.earth/issuances
16 Apr 2024,1366,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,25,https://registry.puro.earth/issuances
16 Apr 2024,65,V-Grid (c/o South Corner Dairy),V-Grid Energy Systems,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/472483,472483,25,https://registry.puro.earth/issuances
11 Apr 2024,275,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,25,https://registry.puro.earth/issuances
04 Apr 2024,78,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,25,https://registry.puro.earth/issuances
04 Apr 2024,2663,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,25,https://registry.puro.earth/issuances
28 Mar 2024,43,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,25,https://registry.puro.earth/issuances
28 Mar 2024,179,"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/307998,307998,25,https://registry.puro.earth/issuances
26 Mar 2024,168,Sonnenerde PyroDry,Sonnenerde GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/955988,955988,25,https://registry.puro.earth/issuances
25 Mar 2024,135,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,25,https://registry.puro.earth/issuances
25 Mar 2024,146,Sonnenerde Pyreg 500,Sonnenerde GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/951479,951479,26,https://registry.puro.earth/issuances
22 Mar 2024,1573,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,26,https://registry.puro.earth/issuances
21 Mar 2024,74,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,26,https://registry.puro.earth/issuances
14 Mar 2024,25,"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/307998,307998,26,https://registry.puro.earth/issuances
14 Mar 2024,20,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,26,https://registry.puro.earth/issuances
14 Mar 2024,2209,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,26,https://registry.puro.earth/issuances
05 Mar 2024,157592,Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/353054,353054,26,https://registry.puro.earth/issuances
29 Feb 2024,2071,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,26,https://registry.puro.earth/issuances
29 Feb 2024,79,Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/181017,181017,26,https://registry.puro.earth/issuances
26 Feb 2024,9386,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,26,https://registry.puro.earth/issuances
26 Feb 2024,3552,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,27,https://registry.puro.earth/issuances
22 Feb 2024,420,Alcom-01-NuevaEcijaPhilippines,Alcom Carbon Markets Pte Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/227253,227253,27,https://registry.puro.earth/issuances
22 Feb 2024,406,Wakefield Biochar Facility 3,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/939902,939902,27,https://registry.puro.earth/issuances
15 Feb 2024,511,"Nordgau Carbon, Wernberg-Köblitz",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/424545,424545,27,https://registry.puro.earth/issuances
13 Feb 2024,1765,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,27,https://registry.puro.earth/issuances
13 Feb 2024,6,"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/307998,307998,27,https://registry.puro.earth/issuances
13 Feb 2024,409,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,27,https://registry.puro.earth/issuances
13 Feb 2024,281,Carbon Hill,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/712033,712033,27,https://registry.puro.earth/issuances
08 Feb 2024,5395,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,27,https://registry.puro.earth/issuances
25 Jan 2024,8541,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,27,https://registry.puro.earth/issuances
25 Jan 2024,134,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,28,https://registry.puro.earth/issuances
18 Jan 2024,87,"American BioCarbon CT, LLC","American BioCarbon CT, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/543800,543800,28,https://registry.puro.earth/issuances
18 Jan 2024,519,"American BioCarbon CT, LLC","American BioCarbon CT, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/543800,543800,28,https://registry.puro.earth/issuances
12 Jan 2024,15561,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,28,https://registry.puro.earth/issuances
12 Jan 2024,4608,Brandon Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/300346,300346,28,https://registry.puro.earth/issuances
12 Jan 2024,8985,Avonmouth Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/756292,756292,28,https://registry.puro.earth/issuances
12 Jan 2024,287,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,28,https://registry.puro.earth/issuances
12 Jan 2024,82,ECOERA Millennium 1 Hammenhög Skånefrö,Ecoera AB,"Biochar, 2022",-,https://registry.puro.earth/projects/706975,706975,28,https://registry.puro.earth/issuances
11 Jan 2024,225,"Nordgau Carbon, Wernberg-Köblitz",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/424545,424545,28,https://registry.puro.earth/issuances
11 Jan 2024,628,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,28,https://registry.puro.earth/issuances
29 Dec 2023,20,"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/307998,307998,29,https://registry.puro.earth/issuances
29 Dec 2023,100,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,29,https://registry.puro.earth/issuances
29 Dec 2023,481,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,29,https://registry.puro.earth/issuances
29 Dec 2023,720,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,29,https://registry.puro.earth/issuances
29 Dec 2023,778,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,29,https://registry.puro.earth/issuances
29 Dec 2023,323,"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/307998,307998,29,https://registry.puro.earth/issuances
29 Dec 2023,480,NetZero-002-Lajinha,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/141608,141608,29,https://registry.puro.earth/issuances
29 Dec 2023,995,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,29,https://registry.puro.earth/issuances
29 Dec 2023,1473,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,29,https://registry.puro.earth/issuances
29 Dec 2023,2823,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,29,https://registry.puro.earth/issuances
22 Dec 2023,5482,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,30,https://registry.puro.earth/issuances
21 Dec 2023,52,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,30,https://registry.puro.earth/issuances
15 Dec 2023,2971,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,30,https://registry.puro.earth/issuances
15 Dec 2023,3052,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,30,https://registry.puro.earth/issuances
07 Dec 2023,52,Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/181017,181017,30,https://registry.puro.earth/issuances
07 Dec 2023,32,Novocarbo Ruhr/Tyssenkrupp,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/798006,798006,30,https://registry.puro.earth/issuances
07 Dec 2023,189,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,30,https://registry.puro.earth/issuances
24 Nov 2023,191,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,30,https://registry.puro.earth/issuances
23 Nov 2023,98,Novocarbo Ruhr/Tyssenkrupp,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/798006,798006,30,https://registry.puro.earth/issuances
16 Nov 2023,101,Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/181017,181017,30,https://registry.puro.earth/issuances
10 Nov 2023,94,Hjelmsäters Egendom,Edvard Hamilton (Hjelmsäters Egendom),"Biochar, 2022",100+ years,https://registry.puro.earth/projects/984723,984723,31,https://registry.puro.earth/issuances
10 Nov 2023,47,Hjelmsäters Egendom,Edvard Hamilton (Hjelmsäters Egendom),"Biochar, 2022",100+ years,https://registry.puro.earth/projects/984723,984723,31,https://registry.puro.earth/issuances
09 Nov 2023,2042,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,31,https://registry.puro.earth/issuances
09 Nov 2023,121,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,31,https://registry.puro.earth/issuances
02 Nov 2023,452,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,31,https://registry.puro.earth/issuances
27 Oct 2023,57,Bussme-01-Svedala,Bussme Biochar AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/665890,665890,31,https://registry.puro.earth/issuances
27 Oct 2023,32,Bussme-01-Svedala,Bussme Biochar AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/665890,665890,31,https://registry.puro.earth/issuances
27 Oct 2023,622,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,31,https://registry.puro.earth/issuances
24 Oct 2023,121,Bussme-01-Svedala,Bussme Biochar AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/665890,665890,31,https://registry.puro.earth/issuances
24 Oct 2023,22,Bussme-01-Munka-Ljungby,Bussme Biochar AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/299495,299495,31,https://registry.puro.earth/issuances
13 Oct 2023,459,"American BioCarbon CT, LLC","American BioCarbon CT, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/543800,543800,32,https://registry.puro.earth/issuances
12 Oct 2023,75,"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/242171,242171,32,https://registry.puro.earth/issuances
12 Oct 2023,4144,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,32,https://registry.puro.earth/issuances
29 Sept 2023,113,Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/181017,181017,32,https://registry.puro.earth/issuances
28 Sept 2023,156,Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/181017,181017,32,https://registry.puro.earth/issuances
28 Sept 2023,108,Hjelmsäters Egendom,Edvard Hamilton (Hjelmsäters Egendom),"Biochar, 2022",100+ years,https://registry.puro.earth/projects/984723,984723,32,https://registry.puro.earth/issuances
28 Sept 2023,192,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,32,https://registry.puro.earth/issuances
